#separator:tab
#html:false
#columns: Marathi	Pronunciation	Hindi	English	ExampleMarathi	ExampleEnglish
रेडिओ	reḍio	रेडियो	radio	रेडिओवर बातम्या ऐक.	Listen to news on the radio.
फ्रीज	phrīj	फ्रिज	fridge	दूध फ्रीजमध्ये ठेव.	Keep milk in the fridge.
शेगडी	śegaḍī	चूल्हा	stove	शेगडीवर कढई ठेव.	Place the wok on the stove.
कुकर	kukar	कुकर	pressure cooker	कुकरमध्ये भात शिजव.	Cook rice in the cooker.
तवा	tavā	तवा	griddle	तव्यावर पोळी भाज.	Roast roti on the griddle.
कढई	kaḍhaī	कड़ाही	wok	कढईत तेल घाल.	Pour oil in the wok.
पातेलं	pātela	बर्तन	cooking pot	पातेल्यात वरण शिजव.	Cook dal in the pot.
झाकण	jhākaṇ	ढक्कन	lid	पातेल्यावर झाकण ठेव.	Put the lid on the pot.
डबा	ḍabā	डिब्बा	box / lunchbox	शाळेत डबा घेऊन जा.	Take the lunchbox to school.
बाटली	bāṭlī	बोतल	bottle	बाटलीत पाणी भर.	Fill water in the bottle.
ग्लास	glās	गिलास	glass (tumbler)	ग्लासभर दूध पी.	Drink a glass of milk.
वाटी	vāṭī	कटोरी	small bowl	वाटीत वरण घे.	Take dal in the bowl.
चाकू	chākū	चाकू	knife	चाकूने भाजी चिर.	Cut vegetables with a knife.
टोपली	ṭopalī	टोकरी	basket	टोपलीत फळं ठेव.	Keep fruits in the basket.
झाडू	jhāḍū	झाड़ू	broom	खोली झाडूने झाड.	Sweep the room.
बादली	bādlī	बाल्टी	bucket	बादलीभर पाणी आण.	Bring a bucket of water.
दोरी	dorī	रस्सी	rope	कपडे दोरीवर वाळत घाल.	Dry clothes on the rope.
हातोडा	hātoḍā	हथौड़ा	hammer	खिळा हातोड्याने ठोक.	Hammer the nail.
कुलूप	kulūp	ताला	lock	दाराला कुलूप लाव.	Lock the door.
साबण	sābaṇ	साबुन	soap	हात साबणाने धू.	Wash hands with soap.
टॉवेल	ṭŏvel	तौलिया	towel	हात टॉवेलने पुस.	Wipe hands with a towel.
कंगवा	kaṅgvā	कंघी	comb	केस कंगव्याने विंचर.	Comb your hair.
उशी	uśī	तकिया	pillow	उशीवर डोकं ठेव.	Rest your head on the pillow.
चादर	chādar	चादर	sheet	पलंगावर स्वच्छ चादर अंथर.	Spread a clean sheet on the bed.
गॅस	gĕs	गैस	gas (cooking)	गॅसवर कढई ठेव.	Place the wok on the gas.
लिफ्ट	liphṭ	लिफ्ट	lift / elevator	तिसऱ्या मजल्यावर लिफ्टने जा.	Take the lift to the third floor.
खिळा	khiḷā	कील	nail (hardware)	भिंतीत खिळा ठोक.	Hammer a nail into the wall.
टेबलक्लॉथ	ṭebalklŏth	मेजपोश	tablecloth	टेबलावर टेबलक्लॉथ अंथर.	Spread the tablecloth.
फुलदाणी	phuldāṇī	फूलदान	flower vase	फुलदाणीत फुलं ठेव.	Keep flowers in the vase.
दिशा	diśā	दिशा	direction	योग्य दिशा पकड.	Take the right direction.
पूर्व	pūrv	पूर्व	east	सूर्य पूर्वेला उगवतो.	The sun rises in the east.
पश्चिम	paśchim	पश्चिम	west	सूर्य पश्चिमेला मावळतो.	The sun sets in the west.
उत्तर	uttar	उत्तर	north	दिल्ली उत्तरेत आहे.	Delhi is in the north.
दक्षिण	dakṣiṇ	दक्षिण	south	केरळ दक्षिणेत आहे.	Kerala is in the south.
वर	var	ऊपर	up / above	वर बघ.	Look up.
खाली	khālī	नीचे	down / below	खाली बैस.	Sit down.
आत	āt	अंदर	inside	आत ये.	Come inside.
बाहेर	bāher	बाहर	outside	बाहेर पाऊस पडतोय.	It is raining outside.
समोर	samor	सामने	in front	शाळा मंदिरासमोर आहे.	The school is in front of the temple.
मागे	māge	पीछे	behind	घरामागे बाग आहे.	There is a garden behind the house.
मध्ये	madhye	बीच में	between / among	दोघांमध्ये बैस.	Sit between the two.
बाजूला	bājūlā	बगल में	beside	माझ्या बाजूला बैस.	Sit beside me.
पलीकडे	palīkaḍe	उस पार	across / beyond	नदीपलीकडे गाव आहे.	The village is across the river.
दरम्यान	darmyān	दौरान	during	प्रवासादरम्यान झोपू नकोस.	Do not sleep during the journey.
मार्ग	mārg	मार्ग	route / path	हाच योग्य मार्ग आहे.	This is the right route.
जग	jag	दुनिया	world	जग खूप मोठं आहे.	The world is very big.
देश	deś	देश	country	भारत माझा देश आहे.	India is my country.
भाषा	bhāṣā	भाषा	language	मराठी माझी भाषा आहे.	Marathi is my language.
धर्म	dharm	धर्म	religion	सर्व धर्मांचा आदर कर.	Respect all religions.
संस्कृती	sanskṛtī	संस्कृति	culture	महाराष्ट्राची संस्कृती समृद्ध आहे.	Maharashtra’s culture is rich.
इतिहास	itihās	इतिहास	history	इतिहासातून शिका.	Learn from history.
भविष्य	bhaviṣy	भविष्य	future	भविष्य उज्ज्वल आहे.	The future is bright.
भूतकाळ	bhūtkāḷ	अतीत	past	भूतकाळ विसरून जा.	Forget the past.
समस्या	samasyā	समस्या	problem	समस्या सोडव.	Solve the problem.
उपाय	upāy	उपाय	solution	प्रत्येक समस्येवर उपाय असतो.	Every problem has a solution.
परिणाम	pariṇām	परिणाम	result	परीक्षेचा परिणाम लागला.	The exam result is out.
उद्देश	uddeś	उद्देश्य	purpose	येण्याचा उद्देश सांग.	State your purpose for coming.
मूल्य	mūly	मूल्य	value	वेळेचं मूल्य जाण.	Know the value of time.
गुणवत्ता	guṇvattā	गुणवत्ता	quality	कामाची गुणवत्ता महत्त्वाची.	Quality of work matters.
धैर्य	dhairy	धैर्य	patience / courage	कठीण काळात धैर्य ठेव.	Keep courage in hard times.
अनुभव	anubhav	अनुभव	experience	अनुभव हाच गुरु.	Experience is the teacher.
केस	kes	बाल	hair	केस विंचरून घे.	Comb your hair.
कपाळ	kapāḷ	माथा	forehead	कपाळावर घाम आला.	Sweat came on the forehead.
गाल	gāl	गाल	cheek	मुलाचे गाल लाल झाले.	The child’s cheeks turned red.
हनुवटी	hanuvaṭī	ठोड़ी	chin	हनुवटीवर खरचटलं.	The chin got scratched.
मान	mān	गर्दन	neck	मान दुखते आहे.	The neck aches.
खांदा	khāndā	कंधा	shoulder	पिशवी खांद्यावर घे.	Take the bag on your shoulder.
छाती	chhātī	छाती	chest	छातीत दुखतंय.	There is pain in the chest.
पाठ	pāṭh	पीठ	back (body)	पाठीत वेदना आहेत.	There is back pain.
कंबर	kambar	कमर	waist	कंबर दुखते आहे.	The waist aches.
बोट	boṭ	उँगली	finger	बोट कापलं.	The finger got cut.
नख	nakh	नाखून	nail (finger)	नखं कापून घे.	Cut your nails.
कोपर	kopar	कोहनी	elbow	कोपरावर मार लागला.	The elbow got hurt.
मांडी	māṇḍī	जाँघ	thigh	मांडीत गोळा आला.	The thigh cramped.
गुडघा	guḍghā	घुटना	knee	गुडघा दुखतोय.	The knee aches.
टाच	ṭāch	एड़ी	heel	टाचेला सूज आली.	The heel is swollen.
त्वचा	tvachā	त्वचा	skin	त्वचा कोरडी पडली.	The skin dried up.
हाड	hāḍ	हड्डी	bone	हाड मोडलं.	The bone broke.
रक्त	rakt	खून	blood	रक्तदान करा.	Donate blood.
हृदय	hṛday	दिल	heart	हृदयाची काळजी घे.	Take care of your heart.
मेंदू	mendū	दिमाग	brain	मेंदूला विश्रांती द्या.	Rest your brain.
खोकला	khokalā	खाँसी	cough	खोकला येतोय, औषध घे.	You are coughing, take medicine.
डोकेदुखी	ḍokedukhī	सिरदर्द	headache	मला डोकेदुखी आहे.	I have a headache.
चक्कर	chakkar	चक्कर	dizziness	मला चक्कर येतेय.	I feel dizzy.
सूज	sūj	सूजन	swelling	पायाला सूज आली.	The leg is swollen.
जखम	jakham	घाव	wound	जखमेवर मलम लाव.	Apply ointment on the wound.
गोळी	goḷī	गोली	pill / tablet	वेळेवर गोळी घे.	Take the pill on time.
लस	las	टीका	vaccine	मुलांना लस द्या.	Vaccinate the children.
तपासणी	tapāsaṇī	जाँच	checkup	वर्षातून एकदा तपासणी करा.	Get a checkup once a year.
रुग्ण	rugṇ	मरीज	patient	रुग्णाला भेटायला जा.	Go visit the patient.
उपचार	upchār	इलाज	treatment	वेळेत उपचार घे.	Get treatment in time.
सदरा	sadarā	कुर्ता	traditional shirt	पांढरा सदरा घाल.	Wear a white traditional shirt.
लेंगा	leṅgā	लहंगा	lehenga (long skirt)	लग्नात लेंगा घालतात.	Lehengas are worn at weddings.
सलवार	salvār	सलवार	salwar (loose trousers)	सलवार आरामदायी असते.	Salwar is comfortable.
ओढणी	oḍhaṇī	ओढ़नी	shawl / wrap	थंडीत ओढणी घे.	Take a shawl in the cold.
कानातले	kānātle	कान की बाली	earrings	तिने सोन्याचे कानातले घातले.	She wore gold earrings.
नथ	nath	नथ	nose ring	नववधू नथ घालते.	The bride wears a nose ring.
बांगड्या	bāṅgaḍyā	चूड़ियाँ	bangles	हातात काचेच्या बांगड्या.	Glass bangles on the wrists.
हार	hār	हार	necklace	गळ्यात मोत्यांचा हार.	A pearl necklace on the neck.
अंगठी	aṅgṭhī	अँगूठी	ring (finger)	बोटात सोन्याची अंगठी.	A gold ring on the finger.
हातमोजे	hātmoje	दस्ताने	gloves	थंडीत हातमोजे घाल.	Wear gloves in the cold.
स्कार्फ	skārph	स्कार्फ	scarf	मानेवर स्कार्फ बांध.	Tie a scarf on the neck.
टाय	ṭāy	टाई	tie	शाळेत टाय लावतात.	Ties are worn at school.
कोट	koṭ	कोट	coat	हिवाळ्यात कोट घाल.	Wear a coat in winter.
जीन्स	jīns	जीन्स	jeans	नवी जीन्स घेतली.	Bought new jeans.
टीशर्ट	ṭīśarṭ	टीशर्ट	t-shirt	उन्हाळ्यात टीशर्ट घाल.	Wear a t-shirt in summer.
फ्रॉक	phrŏk	फ्रॉक	frock	मुलीने नवा फ्रॉक घेतला.	The girl bought a new frock.
पंजाबी ड्रेस	panjābī ḍres	पंजाबी सूट	punjabi suit	तिने पंजाबी ड्रेस घेतला.	She bought a Punjabi suit.
रेनकोट	renkoṭ	रेनकोट	raincoat	पावसात रेनकोट घाल.	Wear a raincoat in the rain.
दुपट्टा	dupaṭṭā	दुपट्टा	dupatta (long scarf)	ड्रेसवर दुपट्टा घे.	Take a dupatta with the dress.
कमरबंद	kamarband	कमरबंद	waistband / sash	धोतरावर कमरबंद बांध.	Tie a sash on the dhoti.
शिक्षिका	śikṣikā	शिक्षिका	teacher (female)	शिक्षिका गोष्ट सांगतात.	The teacher tells a story.
तुकडी	tukḍī	कक्षा वर्ग	class division	मी अ तुकडीत आहे.	I am in division A.
विषय	viṣay	विषय	subject	आवडता विषय कोणता?	Which is your favourite subject?
शाई	śāī	स्याही	ink	पेनात शाई भर.	Fill ink in the pen.
पट्टी	paṭṭī	पैमाना	ruler / scale	पट्टीने रेघ ओढ.	Draw a line with the ruler.
दप्तर	daptar	बस्ता	schoolbag	दप्तरात वह्या ठेव.	Keep notebooks in the bag.
टिफिन	ṭiphin	टिफिन	tiffin box	टिफिनमध्ये पोळीभाजी.	Roti-sabzi in the tiffin.
मैदान	maidān	मैदान	ground / playground	मैदानात खेळूया.	Let us play in the ground.
स्पर्धा	spardhā	प्रतियोगिता	competition	धावण्याच्या स्पर्धेत भाग घे.	Join the running competition.
बक्षीस	bakṣīs	इनाम	prize	पहिलं बक्षीस मिळालं.	Got the first prize.
शिष्यवृत्ती	śiṣyavṛttī	छात्रवृत्ति	scholarship	त्याला शिष्यवृत्ती मिळाली.	He got a scholarship.
प्रवेश	praveś	प्रवेश	admission	शाळेत प्रवेश घे.	Take admission in school.
शुल्क	śulk	शुल्क	fees	शाळेचं शुल्क भर.	Pay the school fees.
अभ्यासक्रम	abhyāskram	पाठ्यक्रम	syllabus	अभ्यासक्रम वेळेत पूर्ण कर.	Finish the syllabus on time.
गुणपत्रक	guṇpatrak	अंकतालिका	report card	गुणपत्रक पालकांना दाखव.	Show the report card to parents.
पदवी	padvī	उपाधि	degree	त्याने पदवी पूर्ण केली.	He completed the degree.
विज्ञान	vijñān	विज्ञान	science	विज्ञानाचा प्रयोग कर.	Do the science experiment.
नागरिकशास्त्र	nāgarikśāstr	नागरिकशास्त्र	civics	नागरिकशास्त्रात हक्क शिकतात.	Rights are learnt in civics.
भूगोल	bhūgol	भूगोल	geography	भूगोलात नकाशा वाच.	Read the map in geography.
शारीरिक शिक्षण	śārīrik śikṣaṇ	शारीरिक शिक्षा	physical education	शारीरिक शिक्षणाचा तास आवडतो.	I like the PT period.
प्रवासी	pravāsī	यात्री	passenger / traveler	प्रवासी गाडीत बसले.	Passengers sat in the vehicle.
विमानतळ	vimāntaḷ	हवाई अड्डा	airport	विमानतळावर लवकर पोहोच.	Reach the airport early.
बंदर	bandar	बंदरगाह	port / harbor	जहाज बंदरात थांबलं.	The ship halted at the port.
महामार्ग	mahāmārg	राजमार्ग	highway	महामार्गाने प्रवास जलद.	Travel is fast by highway.
गल्ली	gallī	गली	lane / alley	आमची गल्ली अरुंद आहे.	Our lane is narrow.
चौक	chauk	चौराहा	square / crossroads	चौकात थांबा आहे.	There is a stop at the square.
सिग्नल	signal	सिग्नल	traffic signal	सिग्नल हिरवा झाला.	The signal turned green.
बोगदा	bogdā	सुरंग	tunnel	गाडी बोगद्यातून गेली.	The train went through the tunnel.
आगगाडी	āggāḍī	रेलगाड़ी	train	आगगाडी वेळेत आली.	The train came on time.
जहाज	jahāj	जहाज	ship	जहाज समुद्रात चाललं.	The ship sailed in the sea.
बोट	boṭ	नाव	boat	बोटीतून फिरायला जाऊ.	We will go boating.
दुचाकी	duchākī	दोपहिया	two-wheeler	दुचाकीवरून शाळेत जा.	Go to school by two-wheeler.
सायकल	sāykal	साइकिल	bicycle	सायकल चालवायला शिक.	Learn to ride a bicycle.
गाडी	gāḍī	गाड़ी	vehicle / car	गाडी हळू चालव.	Drive slowly.
पेट्रोल	peṭrol	पेट्रोल	petrol	गाडीत पेट्रोल भर.	Fill petrol in the vehicle.
इंधन	indhan	ईंधन	fuel	इंधन वाचवा.	Save fuel.
सहल	sahal	सैर	trip / excursion	शाळेची सहल गडावर गेली.	The school trip went to the fort.
तिकीटघर	tikīṭghar	टिकटघर	ticket office	तिकीटघरात रांग आहे.	There is a queue at the ticket office.
पोहोचणे	pohochaṇe	पहुँचना	to arrive / to reach	वेळेत पोहोच.	Reach on time.
निघणे	nighaṇe	निकलना	to depart / to leave	लवकर निघ.	Leave early.
परतणे	partaṇe	लौटना	to return	संध्याकाळी परत ये.	Return in the evening.
फिरणे	phiraṇe	घूमना	to roam / to wander	संध्याकाळी बागेत फिर.	Stroll in the garden in the evening.
टांगा	ṭāṅgā	ताँगा	horse carriage	जुने लोक टांग्याने जात.	Old people travelled by tonga.
बैलगाडी	bailgāḍī	बैलगाड़ी	bullock cart	खेड्यात बैलगाडी चालते.	Bullock carts run in villages.
एसटी	esṭī	सरकारी बस	state transport bus	एसटीने गावी जा.	Go to the village by ST bus.
रिकामा	rikāmā	खाली	empty	डबा रिकामा आहे.	The box is empty.
भरलेला	bharlelā	भरा	full	ग्लास भरलेला आहे.	The glass is full.
उघडा	ughaḍā	खुला	open	दार उघडं आहे.	The door is open.
बंद	band	बंद	closed	दुकान बंद आहे.	The shop is closed.
कोरडा	korḍā	सूखा	dry	कपडे कोरडे झाले.	The clothes dried.
ओला	olā	गीला	wet	टॉवेल ओला आहे.	The towel is wet.
जड	jaḍ	भारी	heavy	पिशवी जड आहे.	The bag is heavy.
हलका	halkā	हल्का	light (weight)	हलका डबा घे.	Take the light box.
मऊ	maū	नरम	soft	उशी मऊ आहे.	The pillow is soft.
कडक	kaḍak	सख्त	hard / strict	शिस्त कडक आहे.	Discipline is strict.
रुंद	rund	चौड़ा	wide	रस्ता रुंद आहे.	The road is wide.
अरुंद	arund	तंग	narrow	गल्ली अरुंद आहे.	The lane is narrow.
खोल	khol	गहरा	deep	विहीर खोल आहे.	The well is deep.
उंच	uṅch	ऊँचा	tall / high	तो उंच आहे.	He is tall.
बुटका	buṭkā	नाटा	short (height)	तो बुटका आहे.	He is short.
तरुण	taruṇ	जवान	young	तरुणांनी पुढे यावं.	The young should step forward.
म्हातारा	mhātārā	बूढ़ा	old (person)	म्हाताऱ्यांना मदत कर.	Help the elderly.
बलवान	balvān	ताकतवर	strong	व्यायामाने बलवान हो.	Become strong with exercise.
अशक्त	aśakt	कमजोर	weak	आजारी माणूस अशक्त असतो.	A sick man is weak.
गोल	gol	गोल	round	चेंडू गोल आहे.	The ball is round.
चौकोनी	chaukonī	चौकोर	square	रुमाल चौकोनी आहे.	The handkerchief is square.
हुशार	huśār	होशियार	smart / clever	ती अभ्यासात हुशार आहे.	She is smart in studies.
प्रामाणिक	prāmāṇik	ईमानदार	honest	नेहमी प्रामाणिक राहा.	Always stay honest.
धाडसी	dhāḍasī	बहादुर	brave	सैनिक धाडसी असतात.	Soldiers are brave.
दयाळू	dayāḷū	दयालु	kind	गरीबांवर दयाळू राहा.	Be kind to the poor.
रागीट	rāgīṭ	गुस्सैल	short-tempered	रागीट माणसाशी जपून बोला.	Speak carefully to a short-tempered man.
आळशी	āḷaśī	आलसी	lazy	आळशी माणूस प्रगती करत नाही.	A lazy man does not progress.
मेहनती	mehanatī	मेहनती	hardworking	मेहनती विद्यार्थी यशस्वी होतो.	A hardworking student succeeds.
समाधानी	samādhānī	संतुष्ट	content / satisfied	जे आहे त्यात समाधानी राहा.	Be content with what you have.
प्रसिद्ध	prasiddh	प्रसिद्ध	famous	लोणावळा प्रसिद्ध थंड हवेचं ठिकाण.	Lonavala is a famous hill station.
श्रीमंत	śrīmant	अमीर	rich	श्रीमंतांनी दान करावं.	The rich should donate.
गरीब	garīb	गरीब	poor	गरिबांना मदत करा.	Help the poor.
नम्र	namr	विनम्र	humble / polite	ज्येष्ठांशी नम्रपणे बोला.	Speak politely to elders.
आनंदी	ānandī	खुश	happy	आज मी खूप आनंदी आहे.	I am very happy today.
दुःखी	duḥkhī	उदास	sad	तो का दुःखी आहे?	Why is he sad?
कंटाळवाणा	kaṇṭāḷvāṇā	उबाऊ	boring	लांब भाषण कंटाळवाणं होतं.	A long speech gets boring.
मनोरंजक	manoraṅjak	मनोरंजक	interesting / entertaining	गोष्ट मनोरंजक होती.	The story was interesting.
गुळगुळीत	guḷguḷīt	चिकना	smooth	रस्ता गुळगुळीत आहे.	The road is smooth.
खडबडीत	khaḍbaḍīt	ऊबड़-खाबड़	rough / bumpy	खेड्यातले रस्ते खडबडीत असतात.	Village roads are bumpy.
लबाड	labāḍ	चालाक	cunning	लबाड माणसापासून सावध राहा.	Beware of cunning people.
पूजा	pūjā	पूजा	worship	सकाळी पूजा करतात.	Worship is done in the morning.
आरती	ārtī	आरती	aarti (prayer song)	संध्याकाळी आरती म्हणतात.	Aarti is sung in the evening.
प्रसाद	prasād	प्रसाद	prasad (blessed food)	देवळात प्रसाद वाटतात.	Prasad is distributed at the temple.
रांगोळी	rāṅgoḷī	रंगोली	rangoli (floor art)	दारात रांगोळी काढ.	Draw rangoli at the door.
फटाके	phaṭāke	पटाखे	firecrackers	दिवाळीत फटाके वाजवतात.	Crackers burst on Diwali.
तोरण	toraṇ	तोरण	toran (door hanging)	दाराला आंब्याचं तोरण बांध.	Tie a mango-leaf toran on the door.
पेढे	peḍhe	पेड़े	pedhe (milk sweet)	यशानंतर पेढे वाटतात.	Pedhe are shared after success.
फराळ	pharāḷ	फलाहार	festive snacks	दिवाळीचा फराळ तयार आहे.	Diwali snacks are ready.
उपवास	upvās	उपवास	fast (religious)	सोमवारी उपवास करतात.	Fast is kept on Monday.
प्रार्थना	prārthanā	प्रार्थना	prayer	शाळेत प्रार्थना म्हणतात.	Prayer is sung at school.
भजन	bhajan	भजन	devotional song	मंदिरात भजनं म्हणतात.	Bhajans are sung in temples.
कीर्तन	kīrtan	कीर्तन	kirtan (devotional discourse)	गावात कीर्तन ठेवलंय.	A kirtan is arranged in the village.
मशिद	maśid	मस्जिद	mosque	शुक्रवारी मशिदीत नमाज.	Friday prayers at the mosque.
चर्च	charch	चर्च	church	रविवारी चर्चमध्ये प्रार्थना.	Sunday prayer at church.
गुरुद्वारा	gurudvārā	गुरुद्वारा	gurudwara	गुरुद्वारात लंगर मिळतो.	Langar is served at the gurudwara.
यात्रा	yātrā	यात्रा	pilgrimage	पंढरपूरची यात्रा भरते.	Pandharpur pilgrimage gathers.
वारी	vārī	वारी	wari pilgrimage	आषाढी वारीत लाखो वारकरी.	Lakhs of warkaris in Ashadhi wari.
टाळ	ṭāḷ	मंजीरा	cymbals	भजनात टाळ वाजवतात.	Cymbals play in bhajans.
मृदंग	mṛdaṅg	मृदंग	mridangam (drum)	कीर्तनात मृदंग वाजतो.	Mridangam plays in kirtan.
फुलं	phula	फूल	flowers (offering)	देवाला फुलं वाहा.	Offer flowers to God.
खारट	khāraṭ	नमकीन	salty	चिवडा खारट लागतो.	Chiwda tastes salty.
कडू	kaḍū	कड़वा	bitter	कारलं कडू लागतं.	Bitter gourd tastes bitter.
तुरट	turaṭ	कसैला	astringent	कच्चं केळं तुरट लागतं.	Raw banana tastes astringent.
चव	chav	स्वाद	taste	आमटीची चव छान आहे.	The dal tastes good.
वास	vās	गंध	smell	फुलांचा वास छान येतोय.	The flowers smell nice.
आवाज	āvāj	आवाज	sound / voice	मोठा आवाज आला.	A loud sound came.
रंग	raṅg	रंग	color	आवडता रंग कोणता?	Which is your favourite color?
आकार	ākār	आकार	shape / size	टेबलाचा आकार मोठा आहे.	The table is big in size.
वजन	vajan	वजन	weight	पिशवीचं वजन जास्त आहे.	The bag is heavy.
लांबी	lāmbī	लंबाई	length	रस्त्याची लांबी मोज.	Measure the road length.
रुंदी	rundī	चौड़ाई	width	खोलीची रुंदी किती?	What is the room width?
उंची	uṅchī	ऊँचाई	height	इमारतीची उंची जास्त आहे.	The building is very tall.
वेग	veg	गति	speed	गाडीचा वेग कमी कर.	Reduce the vehicle speed.
अंतर	antar	दूरी	distance	दोन्ही गावांत खूप अंतर आहे.	The two villages are far apart.
फरक	pharak	अंतर	difference	दोन्हीत काय फरक आहे?	What is the difference?
पोपट	popaṭ	तोता	parrot	पोपट हिरवा असतो.	Parrots are green.
कावळा	kāvḷā	कौआ	crow	कावळा कावकाव करतो.	The crow caws.
चिमणी	chimaṇī	गौरैया	sparrow	चिमणी धान्य टिपते.	The sparrow pecks grain.
गरुड	garuḍ	गरुड़	eagle	गरुड उंच उडतो.	The eagle flies high.
बदक	badak	बत्तख	duck	बदक पाण्यात पोहते.	The duck swims in water.
कोल्हा	kolhā	लोमड़ी	fox	कोल्हा हुशार असतो.	The fox is clever.
लांडगा	lāṇḍgā	भेड़िया	wolf	लांडगे टोळीने फिरतात.	Wolves roam in packs.
हरीण	harīṇ	बारहसिंगा	stag / antelope	हरीण गवत खातं.	The stag eats grass.
डुक्कर	ḍukkar	सूअर	pig	डुक्कर चिखलात लोळतं.	The pig wallows in mud.
मेंढी	menḍhī	भेड़	sheep	मेंढीचं लोकर मऊ असतं.	Sheep wool is soft.
घोडी	ghoḍī	घोड़ी	mare (female horse)	घोडी वेगाने धावते.	The mare runs fast.
उंट	uṇṭ	ऊँट	camel	उंट वाळवंटात चालतो.	The camel walks in the desert.
मगर	magar	मगरमच्छ	crocodile	मगर नदीत राहतो.	Crocodiles live in rivers.
बेडूक	beḍūk	मेंढक	frog	पावसात बेडूक ओरडतात.	Frogs croak in the rain.
पाल	pāl	छिपकली	lizard	पाल भिंतीवर चढते.	The lizard climbs the wall.
मुंगी	muṅgī	चींटी	ant	मुंग्या रांगेत चालतात.	Ants walk in a line.
फुलपाखरू	phulpākharū	तितली	butterfly	फुलपाखरू फुलावर बसतं.	The butterfly sits on flowers.
माशी	māśī	मक्खी	fly (insect)	जेवण झाकून ठेव, माशा येतील.	Cover food, flies will come.
डास	ḍās	मच्छर	mosquito	डास चावतात, मच्छरदाणी लाव.	Mosquitoes bite, use a net.
कोळी	koḷī	मकड़ी	spider	कोळी जाळं विणतो.	The spider weaves a web.
तुळस	tuḷas	तुलसी	tulsi (holy basil)	अंगणात तुळस लावतात.	Tulsi is planted in courtyards.
आंब्याचं झाड	āmbyācha jhāḍ	आम का पेड़	mango tree	आंब्याच्या झाडाला मोहोर आला.	The mango tree blossomed.
वड	vaḍ	बरगद	banyan tree	वडाखाली पार भरतो.	Gatherings happen under the banyan.
पिंपळ	pimpaḷ	पीपल	peepal tree	पिंपळ पवित्र मानतात.	Peepal is considered holy.
केळीचं झाड	keḷīcha jhāḍ	केले का पेड़	banana plant	केळीच्या झाडाला घड लागला.	The banana plant fruited.
गुलाब	gulāb	गुलाब	rose	बागेत गुलाब फुलले.	Roses bloomed in the garden.
झेंडू	jheṇḍū	गेंदा	marigold	तोरणासाठी झेंडूची फुलं.	Marigolds for the toran.
जास्वंद	jāsvand	गुड़हल	hibiscus	देवाला जास्वंद वहा.	Offer hibiscus to God.
मोगरा	mogrā	मोगरा	jasmine	मोगऱ्याचा वास छान येतो.	Jasmine smells nice.
ऊस	ūs	गन्ना	sugarcane	ऊसापासून साखर बनते.	Sugar comes from sugarcane.
उतरणे	utaraṇe	उतरना	to get down / to descend	बस स्थानकात उतर.	Get down at the bus stop.
चढणे	chaḍhaṇe	चढ़ना	to climb	झाडावर चढू नकोस.	Do not climb the tree.
वळणे	vaḷaṇe	मुड़ना	to turn	डावीकडे वळ.	Turn left.
भाजणे	bhājaṇe	भूनना	to roast	शेंगदाणे भाजून घे.	Roast the peanuts.
तळणे	taḷaṇe	तलना	to deep-fry	पापड तळून घे.	Fry the papads.
वाफवणे	vāphavaṇe	भाप में पकाना	to steam	मोदक वाफवून घे.	Steam the modaks.
चावणे	chāvaṇe	चबाना	to chew	अन्न नीट चावून खा.	Chew food properly.
गिळणे	giḷaṇe	निगलना	to swallow	औषध पाण्यासोबत गिळ.	Swallow the pill with water.
चाखणे	chākhaṇe	चखना	to taste	आमटी चाखून बघ.	Taste the dal.
विचार करणे	vichār karaṇe	सोचना	to think	नीट विचार करून उत्तर दे.	Think well and answer.
आशा करणे	āśā karaṇe	आशा करना	to hope	चांगल्याची आशा कर.	Hope for the best.
विश्वास ठेवणे	viśvās ṭhevaṇe	भरोसा करना	to trust	मित्रावर विश्वास ठेव.	Trust your friend.
ठरवणे	ṭharavaṇe	तय करना	to decide	आजच ठरव.	Decide today itself.
निवडणे	nivaḍaṇe	चुनना	to choose	चांगली पुस्तकं निवड.	Choose good books.
नाकारणे	nākāraṇe	मना करना	to refuse	मदत नाकारू नकोस.	Do not refuse help.
स्वीकारणे	svīkāraṇe	स्वीकार करना	to accept	भेट स्वीकार.	Accept the gift.
संपवणे	sampavaṇe	खत्म करना	to finish	काम लवकर संपव.	Finish work soon.
तोडणे	toḍaṇe	तोड़ना	to break	फूल तोडू नकोस.	Do not pluck flowers.
जोडणे	joḍaṇe	जोड़ना	to join	दोन्ही टोकं जोड.	Join both ends.
शिवणे	śivaṇe	सीना	to sew	बटण शिवून घे.	Sew the button.
रंगवणे	raṅgavaṇe	रंगना	to paint / to color	भिंत निळी रंगव.	Paint the wall blue.
बांधणे	bāndhaṇe	बाँधना	to tie / to build	गाठ घट्ट बांध.	Tie the knot tight.
सोडवणे	soḍavaṇe	सुलझाना	to solve / to untie	गणित सोडव.	Solve the sum.
दुरुस्त करणे	durust karaṇe	मरम्मत करना	to repair	सायकल दुरुस्त कर.	Repair the bicycle.
झाडणे	jhāḍaṇe	बुहारना	to sweep	अंगण झाडून घे.	Sweep the courtyard.
कुटणे	kuṭaṇe	कूटना	to pound / to crush	शेंगदाणे कुटून घे.	Pound the peanuts.
रागावणे	rāgāvaṇe	नाराज होना	to get angry	विनाकारण रागावू नकोस.	Do not get angry needlessly.
